Src IP,Timestamp,Mean_Packet_Size,Packet_Size_Variance,Mean_IAT,Port_Diversity,IP_Entropy,Label,Mean_RSSI,RSSI_Variance,JA3_Diversity
Node A,2025-11-11 14:18:23.974254,0,0,0,0,0,0,-51.0,0.0,0
Node A,2025-11-11 14:23:23.974254,0,0,0,0,0,0,-52.76,7.3824000000000005,0
Node A,2025-11-11 14:28:23.974254,0,0,0,0,0,0,-56.98,0.019600000000000003,0
Node A,2025-11-11 14:33:23.974254,0,0,0,0,0,0,-55.84,6.3344,0
Node A,2025-11-11 14:38:23.974254,0,0,0,0,0,0,-52.0,0.0,0
Node A,2025-11-11 14:43:23.974254,0,0,0,0,0,0,-52.2,0.96,0
Node A,2025-11-11 14:48:23.974254,0,0,0,0,0,0,-56.66,0.2644,0
Node A,2025-11-11 14:53:23.974254,0,0,0,0,0,0,-56.1,0.12999999999999998,0
Node A,2025-11-11 14:58:23.974254,0,0,0,0,0,0,-59.9,2.29,0
Node A,2025-11-11 15:03:23.974254,0,0,0,0,0,0,-60.6,0.23999999999999996,0
Node A,2025-11-11 15:08:23.974254,0,0,0,0,0,0,-59.18,0.7076000000000002,0
Node A,2025-11-11 15:13:23.974254,0,0,0,0,0,0,-59.1,1.29,0
Node A,2025-11-11 15:18:23.974254,0,0,0,0,0,0,-58.36,7.150399999999999,0
Node A,2025-11-11 15:23:23.974254,0,0,0,0,0,0,-53.94,0.056400000000000006,0
Node A,2025-11-11 15:28:23.974254,0,0,0,0,0,0,-55.12,16.7856,0
Node A,2025-11-11 15:33:23.974254,0,0,0,0,0,0,-65.86,16.8004,0
Node A,2025-11-11 15:38:23.974254,0,0,0,0,0,0,-66.6,0.76,0
Node A,2025-11-11 15:43:23.974254,0,0,0,0,0,0,-53.66,63.66440000000001,0
Node A,2025-11-11 15:48:23.974254,0,0,0,0,0,0,-52.3,56.80999999999999,0
Node A,2025-11-11 15:53:23.974254,0,0,0,0,0,0,-56.94,61.6964,0
Node A,2025-11-11 15:58:23.974254,0,0,0,0,0,0,-57.92,63.0736,0
Node A,2025-11-11 16:03:23.974254,0,0,0,0,0,0,-66.52,101.44959999999999,0
Node A,2025-11-11 16:08:23.974254,0,0,0,0,0,0,-67.12,101.70560000000002,0
Node A,2025-11-11 16:13:23.974254,0,0,0,0,0,0,-77.42,110.92360000000001,0
Node A,2025-11-11 16:18:23.974254,0,0,0,0,0,0,-81.9,111.21000000000002,0
Node A,2025-11-11 16:23:23.974254,0,0,0,0,0,0,-69.16,87.29440000000001,0
Node A,2025-11-11 16:28:23.974254,0,0,0,0,0,0,-68.64,56.7504,0
Node A,2025-11-11 16:33:23.974254,0,0,0,0,0,0,-71.46,81.00840000000001,0
Node A,2025-11-11 16:38:23.974254,0,0,0,0,0,0,-71.16,57.13440000000001,0
Node A,2025-11-11 16:43:23.974254,0,0,0,0,0,0,-70.9,70.25000000000001,0
Node A,2025-11-11 16:48:23.974254,0,0,0,0,0,0,-72.82,70.22759999999998,0
Node A,2025-11-11 16:53:23.974254,0,0,0,0,0,0,-71.34,59.3844,0
Node A,2025-11-11 16:58:23.974254,0,0,0,0,0,0,-74.18,65.82759999999999,0
Node A,2025-11-11 17:03:23.974254,0,0,0,0,0,0,-74.12,40.625600000000006,0
Node A,2025-11-11 17:08:23.974254,0,0,0,0,0,0,-75.18,52.98759999999999,0
Node A,2025-11-11 17:13:23.974254,0,0,0,0,0,0,-43.22,635.6916,0
Node A,2025-11-11 17:18:23.974254,0,0,0,0,0,0,-23.82,0.1876,0
Node A,2025-11-11 17:23:23.974254,0,0,0,0,0,0,-24.8,1.4400000000000004,0
Node A,2025-11-11 17:28:23.974254,0,0,0,0,0,0,-25.96,0.0384,0
Node A,2025-11-11 17:33:23.974254,0,0,0,0,0,0,-25.34,0.8644,0
Node A,2025-11-11 17:38:23.974254,0,0,0,0,0,0,-24.12,0.10559999999999999,0
Node A,2025-11-11 17:43:23.974254,0,0,0,0,0,0,-24.76,1.3423999999999998,0
Node A,2025-11-11 17:48:23.974254,0,0,0,0,0,0,-26.84,0.13439999999999996,0
Node A,2025-11-11 17:53:23.974254,0,0,0,0,0,0,-27.26,5.032399999999999,0
Node A,2025-11-11 17:58:23.974254,0,0,0,0,0,0,-33.12,0.18560000000000001,0
Node A,2025-11-11 18:03:23.974254,0,0,0,0,0,0,-33.36,0.2304,0
Node A,2025-11-11 18:08:23.974254,0,0,0,0,0,0,-36.64,1.1904000000000001,0
Node A,2025-11-11 18:13:23.974254,0,0,0,0,0,0,-36.88,0.1456,0
Node A,2025-11-11 18:18:23.974254,0,0,0,0,0,0,-32.88,4.1056,0
Node A,2025-11-11 18:23:23.974254,0,0,0,0,0,0,-31.98,0.45959999999999995,0
Node A,2025-11-11 18:28:23.974254,0,0,0,0,0,0,-34.92,6.2336,0
Node A,2025-11-11 18:33:23.974254,0,0,0,0,0,0,-36.04,2.5584000000000002,0
Node A,2025-11-11 18:38:23.974254,0,0,0,0,0,0,-35.32,1.4976000000000003,0
Node A,2025-11-11 18:43:23.974254,0,0,0,0,0,0,-35.42,1.6036,0
Node A,2025-11-11 18:48:23.974254,0,0,0,0,0,0,-37.32,24.017599999999998,0
Node A,2025-11-11 18:53:23.974254,0,0,0,0,0,0,-43.08,1.8735999999999995,0
Node A,2025-11-11 18:58:23.974254,0,0,0,0,0,0,-43.2,2.24,0
Node A,2025-11-11 19:03:23.974254,0,0,0,0,0,0,-41.64,1.4704000000000002,0
Node A,2025-11-11 19:08:23.974254,0,0,0,0,0,0,-42.24,5.2624,0
Node A,2025-11-11 19:13:23.974254,0,0,0,0,0,0,-48.06,1.4564000000000004,0
Node A,2025-11-11 19:18:23.974254,0,0,0,0,0,0,-47.88,1.0656,0
Node A,2025-11-11 19:23:23.974254,0,0,0,0,0,0,-52.74,3.1124000000000005,0
Node A,2025-11-11 19:28:23.974254,0,0,0,0,0,0,-53.04,1.7983999999999998,0
Node A,2025-11-11 19:33:23.974254,0,0,0,0,0,0,-54.98,3.1796,0
Node A,2025-11-11 19:38:23.974254,0,0,0,0,0,0,-56.06,1.9364000000000003,0
Node A,2025-11-11 19:43:23.974254,0,0,0,0,0,0,-54.46,2.4884,0
Node A,2025-11-11 19:48:23.974254,0,0,0,0,0,0,-55.2,2.08,0
Node A,2025-11-11 19:53:23.974254,0,0,0,0,0,0,-55.06,1.8164000000000005,0
Node A,2025-11-11 19:58:23.974254,0,0,0,0,0,0,-54.44,1.6464000000000005,0
Node A,2025-11-11 20:03:23.974254,0,0,0,0,0,0,-54.96,2.1984,0
Node A,2025-11-11 20:08:23.974254,0,0,0,0,0,0,-58.02,2.8996000000000004,0
Node A,2025-11-11 20:13:23.974254,0,0,0,0,0,0,-58.16,3.3343999999999996,0
Node A,2025-11-11 20:18:23.974254,0,0,0,0,0,0,-56.86,0.9204000000000001,0
Node A,2025-11-11 20:23:23.974254,0,0,0,0,0,0,-54.5,41.29,0
Node A,2025-11-11 20:28:23.974254,0,0,0,0,0,0,-33.0,0.0,0
Node A,2025-11-11 20:33:23.974254,0,0,0,0,0,0,-33.0,0.0,0
Node A,2025-11-11 20:38:23.974254,0,0,0,0,0,0,-39.58,2.7635999999999994,0
Node A,2025-11-11 20:43:23.974254,0,0,0,0,0,0,-40.0,0.0,0
Node A,2025-11-11 20:48:23.974254,0,0,0,0,0,0,-39.16,0.17440000000000005,0
Node A,2025-11-11 20:53:23.974254,0,0,0,0,0,0,-38.98,0.019600000000000003,0
Node A,2025-11-11 20:58:23.974254,0,0,0,0,0,0,-53.86,104.00039999999998,0
Node A,2025-11-11 21:03:23.974254,0,0,0,0,0,0,-60.64,0.2304,0
Node A,2025-11-11 21:08:23.974254,0,0,0,0,0,0,-56.2,16.64,0
Node A,2025-11-11 21:13:23.974254,0,0,0,0,0,0,-49.48,0.24960000000000004,0
Node A,2025-11-11 21:18:23.974254,0,0,0,0,0,0,-52.66,18.3444,0
Node A,2025-11-11 21:23:23.974254,0,0,0,0,0,0,-58.18,0.22759999999999997,0
Node A,2025-11-11 21:28:23.974254,0,0,0,0,0,0,-60.34,5.4244,0
Node A,2025-11-11 21:33:23.974254,0,0,0,0,0,0,-61.82,0.4275999999999999,0
Node A,2025-11-11 21:38:23.974254,0,0,0,0,0,0,-61.9,1.25,0
Node A,2025-11-11 21:43:23.974254,0,0,0,0,0,0,-62.52,1.7296000000000005,0
Node A,2025-11-11 21:48:23.974254,0,0,0,0,0,0,-61.54,3.6483999999999996,0
Node A,2025-11-11 21:53:23.974254,0,0,0,0,0,0,-61.46,0.7684000000000001,0
Node C,2025-11-11 21:58:23.974254,0,0,0,0,0,0,-73.32,51.6976,0
